Company_ID,Industry,Company_Size,Annual_Revenue (M₺),Marketing_Spend (K₺),Campaign_Type,Leads_Generated,Conversion_Rate (%),Region,District,Last_Product_1,Last_Product_2,Frequency_of_Purchase,Days_Since_Last_Purchase,Contract_Status,Total_Purchases_Last_Year,Payment_Behavior,Preferred_Channel,Sales_Rep
C0001,"Mining, metals & minerals",Medium,17.3,33,SEM,12,0.9,Adana,Ceyhan,Process safety & automation,Valves,Monthly,6,Pending,15,On-time,Sales Rep,E**** T*******
C0002,Space,Small,4.9,12,Content Marketing,4,1.2,Sakarya,Arifiye,Energy storage systems,Actuators & motion control,Occasionally,310,Active,0,On-time,Sales Rep,D**** S*******
C0003,Buildings,Small,1.1,11,Content Marketing,9,1.1,Ankara,Etimesgut,Lighting & controls,Conduit & cable management,Quarterly,63,Active,4,Occasional delay,Sales Rep,B**** K*******
C0004,Oil & gas,Small,5.7,29,Trade Show,9,0.4,Eskisehir,Tepebasi,Medium-voltage power systems,Process safety & automation,Monthly,17,Active,8,On-time,Sales Rep,A**** Y*******
C0005,Oil & gas,Small,8.3,23,Trade Show,11,0.5,Zonguldak,Kozlu,Medium-voltage power systems,Fuel systems & emissions,Quarterly,93,Active,3,On-time,Sales Rep,C**** D*******
C0006,Data centres,Small,2.1,23,Webinar,8,0.7,Kayseri,Melikgazi,Low-voltage power systems,Energy storage systems,Quarterly,85,Active,4,On-time,Online,A**** Y*******
C0007,Food & beverage,Medium,20.0,38,SEM,4,1.0,Kocaeli,Izmit,Pumps,Valves,Yearly,277,Active,2,On-time,Email,A**** Y*******
C0008,Residential,Medium,44.4,30,Trade Show,2,1.2,Izmir,Cigli,Wiring devices & connectivity,Conduit & cable management,Monthly,19,Active,10,On-time,Online,A**** Y*******
C0009,Space,Large,95.2,32,Email,12,0.8,Kocaeli,Korfez,Medium-voltage power systems,Energy storage systems,Monthly,5,Active,8,On-time,Dealer,H**** N*******
C0010,"Mining, metals & minerals",Small,7.9,11,Content Marketing,3,1.5,Kocaeli,Izmit,"Hose, tubing, fittings",Valves,Quarterly,75,Active,3,On-time,Dealer,C**** D*******
